City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,camana,-11.9873,-73.1218,70.95,72,0,3.53,PE,Fri Aug  4 04:06:27 2023
127,hadibu,12.6512,54.0237,79.74,76,100,28.19,YE,Fri Aug  4 04:06:28 2023
128,hamilton,43.2561,-79.8729,74.17,81,100,21.85,CA,Fri Aug  4 04:01:32 2023
129,crane,31.3957,-102.3521,87.91,37,13,19.06,US,Fri Aug  4 04:06:28 2023
130,katsuura,35.1522,140.3207,85.48,72,34,17.83,JP,Fri Aug  4 04:06:29 2023
131,'ohonua,-21.3413,-174.9561,71.67,63,53,20.87,TO,Fri Aug  4 04:06:29 2023
132,zheleznogorsk,56.2509,93.5329,79.59,50,20,4.94,RU,Fri Aug  4 04:06:30 2023
133,imbituba,-28.2418,-48.6643,63.43,90,99,3.02,BR,Fri Aug  4 04:06:30 2023
134,sidney,-33.8698,151.2083,78.62,37,0,5.01,AU,Fri Aug  4 04:06:30 2023
135,hermanus,-34.4175,19.2361,58.48,68,100,6.67,ZA,Fri Aug  4 04:06:31 2023
136,pimenta bueno,-11.6768,-61.1864,75.88,42,60,2.84,BR,Fri Aug  4 04:06:31 2023
137,yellowknife,62.4541,-114.3774,68.18,64,75,5.75,CA,Fri Aug  4 03:59:08 2023
138,juneau,58.3019,-134.4197,62.1,93,100,3.44,US,Fri Aug  4 04:06:32 2023
139,hami,42.8174,93.5142,95.31,15,97,11.12,CN,Fri Aug  4 04:06:32 2023
140,chiredzi,-21.0453,31.6689,54.05,82,26,1.14,ZW,Fri Aug  4 04:06:33 2023
141,byron bay,-28.6483,153.6178,66.7,67,85,8.84,AU,Fri Aug  4 04:06:33 2023
142,huatabampo,26.8248,-109.642,91.35,60,16,5.12,MX,Fri Aug  4 04:06:33 2023
143,dwarka,22.2471,68.9742,82.11,82,100,18.34,IN,Fri Aug  4 04:06:34 2023
144,sovetskaya gavan',48.9663,140.285,61.92,70,96,6.78,RU,Fri Aug  4 04:06:34 2023
145,humaita,-27.5661,-53.972,60.78,75,10,4.38,BR,Fri Aug  4 04:06:35 2023
146,mbandaka,0.0471,18.2565,70.84,95,100,3.22,CD,Fri Aug  4 04:06:35 2023
147,camarinas,43.1297,-9.1852,56.93,76,18,14.07,ES,Fri Aug  4 04:06:35 2023
148,zouerate,22.7374,-12.4729,84.02,23,0,16.69,MR,Fri Aug  4 04:06:36 2023
149,gisborne,-38.6613,178.0206,54.25,66,31,15.23,NZ,Fri Aug  4 04:06:36 2023
150,verkhnevilyuysk,63.4498,120.3147,78.57,33,100,5.01,RU,Fri Aug  4 04:06:37 2023
151,kismayo,-0.3602,42.5409,75.51,81,82,15.12,SO,Fri Aug  4 04:06:37 2023
152,champerico,14.2937,-91.9118,81.37,74,100,6.33,GT,Fri Aug  4 04:06:37 2023
153,camiri,-20.0391,-63.5204,62.2,50,0,3.13,BO,Fri Aug  4 04:06:38 2023
154,peniche,39.3566,-9.3813,63.01,84,0,24.83,PT,Fri Aug  4 04:06:38 2023
155,barra do bugres,-15.0684,-57.1854,71.44,36,0,2.44,BR,Fri Aug  4 04:02:00 2023
156,isafjordur,66.0727,-23.1194,50.36,76,88,1.61,IS,Fri Aug  4 04:06:39 2023
157,woolgoolga,-30.1108,153.2,69.67,54,34,9.66,AU,Fri Aug  4 04:06:39 2023
158,punta arenas,-53.1626,-70.9078,35.17,77,45,33.38,CL,Fri Aug  4 04:06:39 2023
159,san antonio de pale,-1.4046,5.6326,71.42,79,43,10.0,GQ,Fri Aug  4 04:06:40 2023
160,yirol,6.5566,30.5022,70.21,95,100,3.74,SS,Fri Aug  4 04:06:40 2023
161,chimore,-16.9939,-65.1505,70.7,55,0,3.13,BO,Fri Aug  4 04:06:40 2023
162,carora,10.1695,-70.0728,78.49,70,67,6.64,VE,Fri Aug  4 04:06:41 2023
163,tura,47.39,0.6889,59.58,96,100,5.75,FR,Fri Aug  4 04:06:41 2023
164,gushu,31.5658,118.4983,90.01,64,0,6.78,CN,Fri Aug  4 04:06:41 2023
165,port lincoln,-34.7212,135.8592,55.35,57,100,16.96,AU,Fri Aug  4 04:06:42 2023
166,san juan de miraflores,-12.1559,-76.9721,66.81,82,64,5.95,PE,Fri Aug  4 04:06:42 2023
167,bestobe,43.4439,83.2595,92.7,14,0,0.63,CN,Fri Aug  4 04:06:42 2023
168,kudahuvadhoo,2.6705,72.8906,82.36,69,89,2.08,MV,Fri Aug  4 04:06:43 2023
169,kailua-kona,19.6419,-155.9969,84.16,81,40,13.8,US,Fri Aug  4 04:06:43 2023
170,udachny,66.4118,112.2517,46.8,87,100,4.0,RU,Fri Aug  4 03:59:15 2023
171,namibe,-15.1951,12.1458,62.96,82,5,8.63,AO,Fri Aug  4 04:06:44 2023
172,badger,42.6144,-94.1462,73.44,88,0,0.0,US,Fri Aug  4 04:06:44 2023
173,tromso,69.6516,18.9558,64.29,77,0,2.3,NO,Fri Aug  4 04:06:46 2023
174,nova sintra,14.8711,-24.6956,73.38,79,61,5.86,CV,Fri Aug  4 03:59:22 2023
175,nikel,69.4062,30.2114,66.22,77,100,5.64,RU,Fri Aug  4 04:06:46 2023
176,whitehorse,60.7216,-135.0549,77.77,38,40,9.22,CA,Fri Aug  4 03:59:15 2023
177,oranjemund,-28.5519,16.4284,57.11,64,100,5.97,NA,Fri Aug  4 04:06:47 2023
178,college,45.3266,-75.8386,66.74,87,99,5.77,CA,Fri Aug  4 04:06:47 2023
179,eyl,7.9807,49.8188,81.01,55,89,29.06,SO,Fri Aug  4 04:06:47 2023
180,lalpur,34.2392,71.0455,93.45,46,17,4.47,PK,Fri Aug  4 04:06:48 2023
181,ceeldheer,3.8491,47.1803,76.21,79,55,19.71,SO,Fri Aug  4 04:06:48 2023
182,mount pearl,47.5189,-52.8145,60.13,81,75,8.05,CA,Fri Aug  4 04:04:30 2023
